technology ,description
fleXive,"Next-generation content repository. It provides a stable and fast store for documents, images, and structured data."
Jspx,Jspx is a free open source java web framework.
OpenXava,AJAX Java Framework for Rapid Development of Enterprise Web Applications
crawler4j,open source web crawler for Java which provides a simple interface for crawling the Web.
Apache Nutch,"Nutch is a well matured, production ready Web crawler."
HK2,A light-weight and dynamic dependency injection framework
Dagger,A fast dependency injector for Android and Java
Dagger2,"Replacement of the now obsolete Dagger, by Google"
AppFuse,open-source Java EE web application framework.
JLisa,Rule engine accessible from Java with the full power of Common Lisp
Drools,"Business rule management system (BRMS) with a forward and backward chaining inference based rules engine, using an enhanced implementation of the Rete algorithm."
Easy Rules,Easy Rules is a simple yet powerful Java rules engine
jBPM,Flexible Business Process Management (BPM) Suite
Jeddict,"Graphical tool that enhances productivity and simplifies development tasks of creating complex entity relationship models and create JPA class, visualize & modify Database and automates Java EE 8 code generation."
ActFramework,A full stack Java Web framework
Activiti,Workflow engine written in Java that can execute business processes described in BPMN 2.0.
Akka,Toolkit and runtime simplifying the construction of concurrent and distributed applications on the JVM.
Android Plot,Androidplot is a library for creating dynamic and static charts in your Android app.
Annotation Command Framework,(ACF) is a framework for command processors to validate user supplied command input and map it to objects. Commands are added as methods and configured with annotations. Abstract core can be bound to any java application that can receive command intentions.
Apache Accumulo,"Distributed key/value store that provides robust, scalable data storage and retrieval."
Apache ActiveMQ,Messaging and Integration Patterns server.
Apache Avalon,"An application server component framework, includes logging, thread pooling, and scheduling."
Apache Avro,Remote procedure call and data serialization framework developed within Apache's Hadoop project.
Apache Axis,Implementation of the SOAP (Simple Object Access Protocol) submission to W3C
Apache Blur,Large scale search system built on Apache Lucene and Apache Hadoop.
Apache BookKeeper,Replicated log service which can be used to build replicated state machines.
Apache Camel,Rule-based routing and mediation engine that provides a Java object-based implementation of the Enterprise Integration Patterns using an API to configure routing and mediation rules.
Apache Cayenne,"Powerful, full-featured, open-source object relational mapping framework created for developers working with relational databases."
Apache Click,Component oriented web application framework for the Java language and is built on top of the Java Servlet API
Apache Cocoon,"Web application framework built around the concepts of pipeline, separation of concerns and component-based web development."
Apache Commons,Collection of open source reusable Java components from the Apache/Jakarta community
Apache Crunch,"Framework for writing, testing, and running MapReduce pipelines. Its goal is to make pipelines that are composed of many user-defined functions simple to write, easy to test, and efficient to run."
Apache CXF,"Services framework. CXF helps to build and develop services using frontend programming APIs, like JAX-WS and JAX-RS."
Apache DataFu,Collection of libraries for working with large-scale data in Hadoop.
Apache Empire DB,Relational database abstraction layer and data persistence component that allows developers to take a much more SQL-centric approach in application development than traditional Object-relational mapping frameworks.
Apache Felix,Apache Felix is a community effort to implement the OSGi Framework and Service platform and other interesting OSGi-related technologies under the Apache license.
Apache Flume,"Distributed, reliable, and available service for efficiently collecting, aggregating, and moving large amounts of log data."
Apache Geronimo,Open source server runtime that integrates the best open source projects to create Java/OSGi server runtimes that meet the needs of enterprise developers and system administrators
Apache Giraph,Iterative graph processing system built for high scalability.
Apache Hadoop,Framework that allows for the distributed processing of large data sets across clusters of computers using simple programming models.
Apache HBase,"Non-relational, distributed database modeled after Google's BigTable"
Apache Hive,Component of Hortonworks Data Platform(HDP). Hive provides a SQL-like interface to data stored in HDP.
Apache JackRabbit,Content repository for the Java platform.
Apache JavaNlp,Java machine learning toolkit for natural language processing (NLP).
Apache Jena,Web framework for building Semantic web apps in Java. It provides an API to extract data from and write to RDF graphs
Apache Kafka,Stream processing platform
Apache Log4j,Java logging framework - Log4j 2 is the enhanced version of the popular Log4j project.
Apache Lucene,"High-performance, full-featured text search engine library."
Apache Mahout,"Project of the Apache Software Foundation to produce free implementations of distributed or otherwise scalable machine learning algorithms focused primarily in the areas of collaborative filtering, clustering and classification."
Apache Maven,"Apache Maven is a software project management and comprehension tool. Based on the concept of a project object model (POM), Maven can manage a project's build, reporting and documentation from a central piece of information."
Apache Mesos,"Apache Mesos abstracts CPU, memory, storage, and other compute resources away from machines (physical or virtual), enabling fault-tolerant and elastic distributed systems to easily be built and run effectively."
Apache Mina,"Java network application framework. MINA can be used to create scalable, high performance network applications."
Apache OODT,Data management system framework
Apache Oozie,Server-based workflow scheduling system to manage Hadoop jobs.
Apache OpenNLP,Java machine learning toolkit for natural language processing (NLP).
Apache PDFBox,Java tool for working with PDF documents.
Apache Pig,High-level platform for creating programs that run on Apache Hadoop.
Apache Pivot,Platform for building rich web applications in Java or any JVM-compatible language.
Apache POI,APIs for manipulating various file formats based upon Microsoft's OLE 2 Compound Document format.
Apache Qpid,"Messaging system, implements the Advanced Message Queuing Protocol."
Apache River (Jini),Apache River is a project furthering the development and advancement of Jini technology. River is the implementation of Jini service oriented architecture.
Apache Samza,Distributed stream processing framework.
Apache Shiro,"Powerful and easy-to-use Java security framework that performs authentication, authorization, cryptography, and session management."
Apache Sling,Web framework for the Java platform designed to create content-centric applications on top of a JSR-170-compliant (a.k.a. JCR) content repository such as Apache Jackrabbit.
Apache Solr,Enterprise search platform
Apache Spark,"Fast and general engine for big data processing, with built-in modules for streaming, SQL, machine learning and graph processing."
Apache Storm,Distributed realtime computation system.
Apache Struts,Framework for building Servlet/JSP based web applications based on the MVC design paradigm
Apache Tapestry,Component-oriented Java web application framework
Apache Tika,Content detection and analysis framework.
Apache Tomcat,"Tomcat Server, is an open-source Java Servlet Container"
Apache Turbine,Web application development framework to facilitate building secure web applications.
Apache Uima,"Unstructured Information Management Architecture, is an OASIS standard for content analytics. It provides a component software architecture for the development, discovery, composition, and deployment of multi-modal analytics for the analysis of unstructured information and integration with search technologies."
Apache UserGrid,"Backend-as-a-Service (“BaaS” or “mBaaS”) composed of an integrated distributed NoSQL database, application layer and client tier with SDKs for developers looking to rapidly build web and/or mobile applications."
Apache Velocity,Java-based template engine that provides a template language to reference objects defined in Java code
Apache VXQuery,Standards-compliant XML Query processor that is implemented in Java
Apache Wicket,Component-oriented Java web application framework.
Apache Wink,Apache Wink is an open source framework that enables development and consumption of REST style web services.
Apache Xerces,"Collection of software libraries for parsing, validating, serializing and manipulating XML."
